Month,Volume (in Mn),Value (in Cr.)
Jan-17,4.46,"1,696.22"
Feb-17,4.38,"1,937.71"
Mar-17,6.37,"2,425.14"
Apr-17,7.2,"2,271.24"
May-17,9.36,"2,797.07"
Jun-17,10.35,"3,098.36"
Jul-17,11.63,"3,411.35"
Aug-17,16.8,"4,156.62"
Sep-17,30.98,"5,325.81"
Oct-17,76.96,"7,057.78"
Nov-17,105.02,"9,669.33"
Dec-17,145.64,"13,174.24"
Jan-18,151.83,"15,571.20"
Feb-18,171.4,"19,126.20"
Mar-18,178.05,"24,172.60"
Apr-18,190.08,"27,021.85"
May-18,189.48,"33,288.51"
Jun-18,246.37,"40,834.03"
Jul-18,273.75,"51,843.14"
Aug-18,312.02,"54,212.26"
Sep-18,405.87,"59,835.36"
Oct-18,482.36,"74,978.27"
Nov-18,524.94,"82,232.21"
Dec-18,620.17,"1,02,594.82"
Jan-19,672.75,"1,09,932.43"
Feb-19,674.19,"1,06,737.12"
Mar-19,799.54,"1,33,460.72"
Apr-19,781.79,"1,42,034.39"
May-19,733.54,"1,52,449.29"
Jun-19,754.54,"1,46,566.35"
Jul-19,822.29,"1,46,386.64"
Aug-19,918.35,"1,54,504.89"
Sep-19,955.02,"1,61,456.56"
Oct-19,"1,148.36","1,91,359.94"
Nov-19,"1,218.77","1,89,229.09"
Dec-19,"1,308.40","2,02,520.76"
Jan-20,"1,305.02","2,16,242.97"
Feb-20,"1,325.69","2,22,516.95"
Mar-20,"1,246.84","2,06,462.31"
Apr-20,999.57,"1,51,140.66"
May-20,"1,234.50","2,18,391.60"
Jun-20,"1,336.93","2,61,835.00"
Jul-20,"1,497.36","2,90,537.86"
Aug-20,"1,618.83","2,98,307.61"
Sep-20,"1,800.14","3,29,027.66"
Oct-20,"2,071.62","3,86,106.74"
Nov-20,"2,210.23","3,90,999.15"
Dec-20,"2,234.16","4,16,176.21"
Jan-21,"2,302.73","4,31,181.89"
Feb-21,"2,292.90","4,25,062.76"
Mar-21,"2,731.68","5,04,886.44"
Apr-21,"2,641.06","4,93,663.68"
May-21,"2,539.57","4,90,638.65"
Jun-21,"2,807.51","5,47,373.17"
Jul-21,"3,247.82","6,06,281.14"
Aug-21,"3,555.55","6,39,116.95"
Sep-21,"3,654.30","6,54,351.81"
Oct-21,"4,218.65","7,71,444.98"
Nov-21,"4,186.48","7,68,436.11"
Dec-21,"4,566.30","8,26,848.22"
Jan-22,"4,617.15","8,31,993.11"
Feb-22,"4,527.49","8,26,843.00"
Mar-22,"5,405.65","9,60,581.66"
Apr-22,"5,583.05","9,83,302.27"
May-22,"5,955.20","10,41,520.07"
Jun-22,"5,862.75","10,14,384.31"
Jul-22,"6,288.40","10,62,991.76"
Aug-22,"6,579.63","10,72,792.68"
Sep-22,"6,780.80","11,16,438.10"
Oct-22,"7,305.42","12,11,582.51"
Nov-22,"7,309.45","11,90,593.39"
Dec-22,"7,829.49","12,82,055.01"
Jan-23,"8,036.89","12,98,726.62"
Feb-23,"7,534.76","12,35,846.62"
Mar-23,"8,685.30","14,10,443.01"
Apr-23,"8,863.26","14,15,504.71"
May-23,"9,415.19","14,89,145.44"
Jun-23,"9,335.06","14,75,464.26"
Jul-23,"9,964.61","15,33,536.44"
Aug-23,"10,586.02","15,76,536.56"
Sep-23,"10,555.69","15,79,133.18"
Oct-23,"11,408.79","17,15,768.34"
Nov-23,"11,235.29","17,39,740.61"
Dec-23,"12,020.23","18,22,949.42"
Jan-24,"12,203.02","18,41,083.97"
Feb-24,"12,102.67","18,27,869.35"
Mar-24,"13,440.00","19,78,353.23"
Apr-24,"13,303.99","19,64,464.52"
May-24,"14,035.84","20,44,937.05"
Jun-24,"13,885.14","20,07,081.20"
Jul-24,"14,435.55","20,64,292.41"
Aug-24,"14,963.05","20,60,735.57"
Sep-24,"15,041.75","20,63,994.71"
Oct-24,"16,584.97","23,49,821.46"
Nov-24,"15,482.02","21,55,187.40"
Dec-24,"16,730.01","23,24,699.91"
Jan-25,"16,996.00","23,48,037.12"
Feb-25,"16,106.19","21,96,481.69"
Mar-25,"18,301.51","24,77,221.61"
Apr-25,"17,893.42","23,94,925.87"
