Month,WPI,CPI,Creditcards Outstanding Monthly,Personal Loan (Consolidated)
Jan-17,185.1,130.3,28845858,15236
Feb-17,185.5,130.6,29078655,15403
Mar-17,185.8,130.9,29842235,16242
Apr-17,113.2,131.1,30374102,16132
May-17,112.9,131.4,30856236,16173
Jun-17,112.7,132,31477712,16401
Jul-17,113.9,134.2,32056929,16657
Aug-17,114.8,135.4,32645679,16854
Sep-17,114.9,135.2,33342644,17547
Oct-17,115.6,136.1,33870443,17547
Nov-17,116.4,137.6,34775605,17630
Dec-17,115.7,137.2,35496202,17952
Jan-18,116,136.9,36238240,18286
Feb-18,116.1,136.4,36935373,18544
Mar-18,116.3,136.5,37484955,19085
Apr-18,117.3,137.1,37782876,19211
May-18,118.3,137.8,38604630,19181
Jun-18,119.1,138.5,39380747,19336
Jul-18,119.9,139.8,40166013,19445
Aug-18,120.1,140.4,41041092,19924
Sep-18,120.9,140.2,41775757,20200
Oct-18,122,140.7,42675239,20386
Nov-18,121.6,140.8,43235366,20662
Dec-18,119.7,140.1,44213752,20997
Jan-19,119.2,139.6,45171042,21371
Feb-19,119.5,139.9,46061631,21633
Mar-19,119.9,140.4,47088647,22207
Apr-19,121.1,141.2,47996791,22228
May-19,121.6,142,48920802,22414
Jun-19,121.5,142.9,49648103,22538
Jul-19,121.3,144.2,50263911,22755
Aug-19,121.5,145,51765489,2303930
Sep-19,121.3,145.8,52589719,2355785
Oct-19,122,147.2,53358641,2389684
Nov-19,122.3,148.6,54410765,2404701
Dec-19,123,150.4,55332847,2433282
Jan-20,123.4,150.2,56120245,2497250
Feb-20,122.2,149.1,57158090,2532051
Mar-20,120.4,148.6,57745105,2553652
Apr-20,119.2,151.4,57360145,2490791
May-20,117.5,150.9,57179899,2478863
Jun-20,119.3,151.8,57289033,2490381
Jul-20,121,153.9,57632047,2531234
Aug-20,122,154.7,57830597,2548113
Sep-20,122.9,156.4,58694212,2571712
Oct-20,123.6,158.4,59419834,2611492
Nov-20,125.1,158.9,60113014,2644599
Dec-20,125.4,157.3,60397171,2663439
Jan-21,126.5,156.3,61097889,2724415
Feb-21,128.1,156.6,61647183,2773926
Mar-21,129.9,156.8,62049087,2813513
Apr-21,132,157.8,62260420,2810419
May-21,132.9,160.4,62393434,2787265
Jun-21,133.7,161.3,62815482,2786519
Jul-21,135,162.5,63414463,2858741
Aug-21,136.2,162.9,63934371,2893913
Sep-21,137.4,163.2,65025075,2918538
Oct-21,140.7,165.5,66360808,2955599
Nov-21,143.7,166.7,67582583,2985430
Dec-21,143.3,166.2,68948699,3087845
Jan-22,143.8,165.7,70252069,3180477
Feb-22,145.3,166.1,71707614,3306650
Mar-22,148.9,167.7,73627330,3374876
Apr-22,152.3,170.1,75166069,3442993
May-22,155,171.7,76876980,3467812
Jun-22,155.4,172.6,78722617,3520062
Jul-22,154,173.4,80255722,3594016
Aug-22,153.2,174.3,77991469,3647906
Sep-22,151.9,175.3,77701744,3702006
Oct-22,152.9,176.7,79367754,3770285
Nov-22,152.5,176.5,80606319,3800330
Dec-22,150.5,175.7,81186874,3935144
Jan-23,150.7,176.5,82452029,3958874
Feb-23,150.9,176.8,83365756,4013299
Mar-23,151,177.2,85303138,4085168
Apr-23,151.1,178.1,86512698,4119592
May-23,149.4,179.1,87747311,4137821
Jun-23,148.9,181,88682356,4260984
Jul-23,152.1,186.3,89873251,4731833
Aug-23,152.5,186.2,91278257,4770125
Sep-23,151.8,184.1,93017482,4826833
Oct-23,152.5,185.3,94710817,4999349
Nov-23,153.1,186.3,96001382,5056524
Dec-23,151.8,185.7,97904611,5175423
Jan-24,151.2,185.5,99500257,5217944
Feb-24,151.2,185.8,100600166,5267784
Mar-24,151.4,185.8,101802736,5336129
Apr-24,152.9,186.7,102539752,5362859
May-24,153.5,187.7,103300377,5456633
Jun-24,154,190.2,103813018,5486107
Jul-24,155.3,193,104568437,5529815
Aug-24,154.4,193,105424368,5555484
Sep-24,154.7,194.2,106103318,5596719
Oct-24,156.7,196.8,106889655,5647476
Nov-24,156.4,196.5,107239710,5734856
Dec-24,155.7,195.4,108055905,5794866
Jan-25,155,193.4,108873184,5831547
Feb-25,154.8,192.5,109315356,5878918
