Credgenics - Analog Legalhub Technology Solutions Private Limited,,,,,,,
,31-Mar-18,31-Mar-19,31-Mar-20,31-Mar-21,31-Mar-22,31-Mar-23,31-Mar-24
Revenue,,0,0.21,5.19,27.26,81.1,134.49
Employee Benefit Expenses,,0,0.13,2.05,14.32,39.86,59.99
Other Expenses,,0,0.18,2.86,25.47,61.07,85.1
Expenses,,0,0.31,4.9,39.79,100.93,145.09
Assets,,0.01,1.48,29.27,199.46,202.98,514.92
Revenue Growth (%),,NA,93420740.7,2359.7,425,197.5,65.8
EBITDA Margin (%),,-511228.8,-46.6,5.6,-45.9,-24.4,-7.9
Net Margin (%),,-511228.8,-38.9,7.8,-30.3,-15.6,7.3
Return on Capital Employed (%),,-13.1,-5.7,2.1,-4.2,-7,1.8
Profit/Loss,,0,-0.08,0.4,-8.27,-12.68,9.83
,,,,,,,
,,,,,,,
,,,,,,,
Spocto - Spocto Solutions Private Limited,,,,,,,
,31-Mar-18,31-Mar-19,31-Mar-20,31-Mar-21,31-Mar-22,31-Mar-23,31-Mar-24
Revenue,,1.17,3.42,13.87,57,67.49,125.52
Employee Benefit Expenses,,0.45,1.34,5.01,20.14,52.29,59.42
Other Expenses,,2.55,2.54,1.93,21.22,64.13,106.93
Expenses,,3,4.76,11.54,41.36,116.43,166.35
Assets,,1.32,2.85,9.5,176.79,162.63,138.05
Revenue Growth (%),,,192.6,305.6,311,18.4,86
EBITDA Margin (%),,-156.5,-39.2,16.8,27.4,-72.5,-32.5
Net Margin (%),,-156.6,-48.8,10.7,16.7,-76.7,-42.8
Return on Capital Employed (%),,-153.2,-93.1,76.6,9.3,-51,-106.2
Profit/Loss,,-1.83,-1.67,1.48,9.5,-51.76,-53.78
,,,,,,,
,,,,,,,
,,,,,,,
Creditas - Creditas Solutions Private Limited,,,,,,,
,31-Mar-18,31-Mar-19,31-Mar-20,31-Mar-21,31-Mar-22,31-Mar-23,31-Mar-24
Revenue,3.93,7.78,14.34,25.81,27.83,30.1,34.22
Employee Benefit Expenses,1.5,3.42,5.94,9.87,18.63,27.38,25.65
Other Expenses,2.15,3.77,4.71,5.52,7.93,10.06,10.5
Expenses,3.65,7.2,10.64,15.39,26.56,37.43,36.15
Assets,5.61,6.17,10.17,22.61,26.93,23.88,57.86
Revenue Growth (%),182.1,98.2,84.2,80,7.8,8.2,13.7
EBITDA Margin (%),7.1,7.5,25.8,40.4,4.6,-24.4,-5.6
Net Margin (%),-5.8,0.8,16.7,27.2,2,-29.9,-15.3
Return on Capital Employed (%),-3.6,1.4,39.6,71.1,5.3,-179.3,-11.3
Profit/Loss,-0.23,0.06,2.39,7.01,0.55,-9.01,-5.24
,,,,,,,
,,,,,,,
,,,,,,,
Mobicule - Mobicule Technologies Private Limited,,,,,,,
,31-Mar-18,31-Mar-19,31-Mar-20,31-Mar-21,31-Mar-22,31-Mar-23,31-Mar-24
Revenue,47.06,41.95,12.78,12.24,14.48,19.72,24.99
Employee Benefit Expenses,0.36,0.36,0.33,0.22,0.27,9.7,12.48
Other Expenses,2.26,2.49,2.24,2.08,2.25,2.89,3.45
Expenses,42.47,37.32,8.28,7.96,10.77,16.25,20.28
Assets,44.97,38.65,25.84,28.06,65.65,65.19,66.2
Revenue Growth (%),-10.9,-10.8,-69.5,-4.2,18.3,36.1,26.8
EBITDA Margin (%),9.8,11,35.2,35,25.7,17.6,18.9
Net Margin (%),3.2,2.4,2.8,3,3.8,3.1,3.2
Return on Capital Employed (%),17.5,13.8,13.2,11.2,3.5,4.4,5.4
Profit/Loss,1.5,1.02,0.36,0.37,0.54,0.6,0.79
,,,,,,,
,,,,,,,
,,,,,,,
Credimate (PAYTM) - Urja Money Private Limited,,,,,,,
,31-Mar-18,31-Mar-19,31-Mar-20,31-Mar-21,31-Mar-22,31-Mar-23,31-Mar-24
Revenue,0.42,0.91,2.61,1.11,5.31,7.53,16.43
Employee Benefit Expenses,1.83,3.3,4.2,4.53,4.56,1.84,2.17
Other Expenses,2.85,4.93,3.45,2.05,4.51,6.75,15.74
Expenses,4.69,8.28,7.93,6.58,9.07,8.59,17.91
Assets,5.03,6.8,7.95,3.36,4.97,6.06,10.34
Revenue Growth (%),342.8,116.1,185.7,-57.5,378.5,42,118.2
EBITDA Margin (%),-1009.5,-807.4,-204.2,-493.1,-70.8,-14,-9
Net Margin (%),-1056.1,-768.1,-208.2,-449.1,-73.6,-18.5,-12.3
Return on Capital Employed (%),-90.7,-121.8,-89.8,-269.1,-453.8,-33.7,-118.1
Profit/Loss,-4.46,-7.01,-5.43,-4.98,-3.91,-1.39,-2.02
,,,,,,,
,,,,,,,
,,,,,,,
DPDZERO TECHNOLOGIES PRIVATE LIMITED,,,,,,,
,31-Mar-18,31-Mar-19,31-Mar-20,31-Mar-21,31-Mar-22,31-Mar-23,31-Mar-24
Revenue,,,,,,,5.83
Employee Benefit Expenses,,,,,,,4.08
